 id |                      package_name                      
 384 | javax.servlet.jsp.jsp-api
 385 | commons-codec.commons-codec
 386 | org.glassfish.javax.servlet
 388 | org.neo4j.neo4j-io
 389 | org.apache.chemistry.opencmis.chemistry-opencmis-client-api
 390 | javax.websocket.javax.websocket-api
 392 | javax.el.javax.el-api
 393 | org.apache.chemistry.opencmis.chemistry-opencmis-commons-api
 394 | org.glassfish.javax.annotation
 397 | org.springframework.boot.spring-boot-starter-test
 398 | com.vaadin.vaadin-server
 399 | org.powermock.powermock-api-mockito
 400 | org.powermock.powermock-core
 401 | com.liferay.portal.portal-service
 402 | org.powermock.powermock-api-support
 404 | javax.portlet.portlet-api
 405 | org.powermock.powermock-module-junit4
 406 | com.google.appengine.appengine-api-1.0-sdk
 408 | com.vaadin.vaadin-sass-compiler
 409 | com.vaadin.vaadin-shared
 410 | com.vaadin.vaadin-push
 411 | org.jsoup.jsoup
 427 | org.spire-math.jawn-parser_2.12
 429 | org.scalacheck.scalacheck_2.12
(25 rows)

 id  |                       package_name                        
-----+-----------------------------------------------------------
 430 | io.spray.spray-json_2.12
 432 | org.eclipse.persistence.org.eclipse.persistence.asm
 433 | org.glassfish.javax.json
 445 | com.bertramlabs.plugins.asset-pipeline-core
 447 | io.bit3.jsass
 465 | org.erlang.otp.jinterface
 467 | javax.annotation.jsr250-api
 471 | org.jboss.forge.addon.resources
 472 | org.jboss.forge.furnace.container.simple
 473 | org.jboss.forge.furnace.test.furnace-test-harness
 474 | org.jboss.forge.furnace.test.arquillian-furnace-classpath
 475 | org.jboss.forge.addon.shell-test-harness
 478 | redis.clients.jedis
 480 | com.netflix.dyno.dyno-core
 486 | org.elasticsearch.elasticsearch-core
 490 | com.fasterxml.jackson.dataformat.jackson-dataformat-yaml
 491 | com.fasterxml.jackson.dataformat.jackson-dataformat-cbor
 493 | org.jboss.javaee.jboss-jms-api
 494 | org.smallmind.smallmind-nutsnbolts
 496 | org.smallmind.scribe-pen
 497 | org.springframework.spring-context
 502 | org.neo4j.app.neo4j-server
 508 | com.sun.jersey.jersey-client
 509 | org.picocontainer.picocontainer
 510 | org.seleniumhq.selenium.selenium-firefox-driver
(25 rows)

 id  |                  package_name                  
-----+------------------------------------------------
 512 | org.seleniumhq.selenium.selenium-chrome-driver
 514 | org.seleniumhq.selenium.selenium-ie-driver
 515 | org.neo4j.neo4j-shell
 520 | org.onosproject.onos-api
 521 | org.ow2.asm.asm
 522 | commons-collections.commons-collections
 526 | org.apache.commons.commons-lang3
 527 | commons-logging.commons-logging
 528 | commons-pool.commons-pool
 533 | javax.ws.rs.javax.ws.rs-api
 534 | org.glassfish.jersey.core.jersey-server
 537 | com.esotericsoftware.kryo
 538 | io.dropwizard.metrics.metrics-core
 539 | io.dropwizard.metrics.metrics-json
 540 | com.eclipsesource.minimal-json.minimal-json
 541 | com.esotericsoftware.minlog
 542 | io.netty.netty
 543 | io.netty.netty-buffer
 544 | io.netty.netty-codec
 545 | io.netty.netty-common
 546 | io.netty.netty-handler
 547 | io.netty.netty-transport
 548 | io.netty.netty-transport-native-epoll
 550 | org.onosproject.onos-yang-compiler-api
 551 | org.onosproject.onos-yang-datamodel
(25 rows)

 id  |                           package_name                            
-----+-------------------------------------------------------------------
 552 | org.onosproject.onos-yang-maven-plugin
 553 | org.onosproject.onos-yang-model
